       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        128 25 May 2023 10:28:30      1.253      1.265    10.8321  37.214375     0.0314 1.1425e+03    218.242     77.932      1.253    33.3324    25.5068    1490.79 0.0000e+00
        129 25 May 2023 10:28:30      1.255      1.266    10.8321  37.215702     0.0344 8.3950e+02    217.296     77.597      1.255    33.3337    25.5079    1490.79 0.0000e+00
        130 25 May 2023 10:28:30      1.256      1.267    10.8318  37.215786     0.0235 5.6283e+02    216.404     77.283      1.256    33.3341    25.5082    1490.79 0.0000e+00
        131 25 May 2023 10:28:30      1.256      1.268    10.8311  37.214329     0.0205 8.8319e+02    215.794     77.071      1.256    33.3333    25.5077    1490.79 0.0000e+00
        132 25 May 2023 10:28:30      1.256      1.267    10.8301  37.211613     0.0126 8.1151e+02    214.951     76.775      1.256    33.3315    25.5065    1490.78 0.0000e+00
        133 25 May 2023 10:28:30      1.255      1.267    10.8288  37.208252     0.0166 9.9849e+02    214.786     76.718      1.255    33.3293    25.5049    1490.78 0.0000e+00
        134 25 May 2023 10:28:32      1.254      1.266    10.8276  37.204918     0.0185 8.6863e+02    214.985     76.785      1.254    33.3271    25.5034    1490.77 0.0000e+00
        135 25 May 2023 10:28:32      1.254      1.265    10.8266  37.202225     0.0175 2.1027e+03    214.868     76.736      1.254    33.3253    25.5022    1490.76 0.0000e+00
        136 25 May 2023 10:28:32      1.254      1.265    10.8260  37.200665     0.0047 8.3218e+02    214.931     76.753      1.254    33.3243    25.5016    1490.76 0.0000e+00
        137 25 May 2023 10:28:32      1.254      1.266    10.8259  37.200634     0.0175 1.4005e+03    214.759     76.688      1.254    33.3244    25.5016    1490.76 0.0000e+00
        138 25 May 2023 10:28:32      1.255      1.267    10.8261  37.202175     0.0136 7.3080e+02    214.007     76.417      1.255    33.3257    25.5027    1490.76 0.0000e+00
        139 25 May 2023 10:28:33      1.257      1.268    10.8265  37.204716     0.0255 2.3622e+03    212.991     76.053      1.257    33.3279    25.5043    1490.77 0.0000e+00
        140 25 May 2023 10:28:33      1.257      1.269    10.8269  37.207130     0.0175 1.0106e+03    211.768     75.619      1.257    33.3299    25.5058    1490.77 0.0000e+00
        141 25 May 2023 10:28:33      1.257      1.269    10.8272  37.208000     0.0324 2.2774e+03    210.571     75.197      1.257    33.3305    25.5062    1490.77 0.0000e+00
        142 25 May 2023 10:28:33      1.257      1.268    10.8274  37.206329     0.0185 1.2038e+03    209.616     74.860      1.257    33.3287    25.5047    1490.77 0.0000e+00
        143 25 May 2023 10:28:33      1.255      1.267    10.8274  37.202526     0.0166 1.1941e+03    209.081     74.673      1.255    33.3249    25.5018    1490.76 0.0000e+00
        144 25 May 2023 10:28:34      1.254      1.266    10.8273  37.198277     0.0225 1.1018e+03    208.907     74.612      1.254    33.3207    25.4985    1490.76 0.0000e+00
        145 25 May 2023 10:28:34      1.253      1.265    10.8272  37.195255     0.0344 1.6974e+03    208.917     74.613      1.253    33.3178    25.4963    1490.76 0.0000e+00
        146 25 May 2023 10:28:34      1.253      1.264    10.8272  37.194321     0.0285 2.8811e+03    208.935     74.615      1.253    33.3169    25.4956    1490.75 0.0000e+00
        147 25 May 2023 10:28:34      1.253      1.265    10.8274  37.195541     0.0225 1.0730e+03    209.113     74.675      1.253    33.3179    25.4963    1490.76 0.0000e+00
        148 25 May 2023 10:28:34      1.254      1.266    10.8279  37.198299     0.0245 6.6085e+02    209.057     74.654      1.254    33.3202    25.4981    1490.76 0.0000e+00
        149 25 May 2023 10:28:36      1.255      1.267    10.8284  37.201496     0.0265 7.8635e+02    208.244     74.367      1.255    33.3229    25.5001    1490.77 0.0000e+00
        150 25 May 2023 10:28:36      1.256      1.267    10.8288  37.203785     0.0215 3.1356e+03    207.233     74.011      1.256    33.3248    25.5015    1490.77 0.0000e+00
        151 25 May 2023 10:28:36      1.256      1.268    10.8290  37.203842     0.0294 1.7277e+03    205.872     73.532      1.256    33.3248    25.5014    1490.77 0.0000e+00
        152 25 May 2023 10:28:36      1.256      1.267    10.8288  37.201244     0.0334 8.4576e+02    204.703     73.120      1.256    33.3223    25.4996    1490.77 0.0000e+00
        153 25 May 2023 10:28:36      1.255      1.266    10.8283  37.197136     0.0195 5.9512e+02    203.954     72.859      1.255    33.3187    25.4968    1490.76 0.0000e+00
        154 25 May 2023 10:28:36      1.254      1.265    10.8275  37.193340     0.0116 3.2190e+03    203.445     72.682      1.254    33.3156    25.4945    1490.75 0.0000e+00
        155 25 May 2023 10:28:37      1.253      1.264    10.8266  37.190922     0.0265 5.6902e+02    203.098     72.552      1.253    33.3140    25.4935    1490.75 0.0000e+00
        156 25 May 2023 10:28:37      1.252      1.264    10.8259  37.190094     0.0324 2.2223e+03    203.337     72.595      1.252    33.3139    25.4935    1490.75 0.0000e+00
        157 25 May 2023 10:28:37      1.253      1.264    10.8256  37.190636     0.0146 5.6013e+02    204.284     72.903      1.253    33.3147    25.4942    1490.75 0.0000e+00
