       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       2689 23 May 2023 09:47:24    109.000    110.030    13.3788  34.466760     0.4719 5.3325e-02      1.626      0.595    109.000    28.5554    21.3342    1495.66 0.0000e+00
       2714 23 May 2023 09:47:30    110.000    111.040    13.3797  34.472774     0.4762 5.3359e-02      1.612      0.590    110.000    28.5599    21.3375    1495.69 0.0000e+00
       2739 23 May 2023 09:47:36    111.000    112.050    13.3805  34.476730     0.4812 5.3360e-02      1.609      0.588    111.000    28.5626    21.3394    1495.71 0.0000e+00
       2765 23 May 2023 09:47:43    112.000    113.060    13.3814  34.481010     0.4826 5.3348e-02      1.577      0.577    112.000    28.5655    21.3415    1495.73 0.0000e+00
       2788 23 May 2023 09:47:49    113.000    114.069    13.3825  34.486601     0.4846 5.3349e-02      1.603      0.586    113.000    28.5695    21.3444    1495.76 0.0000e+00
       2811 23 May 2023 09:47:54    114.000    115.079    13.3831  34.490368     0.4870 5.3343e-02      1.617      0.592    114.000    28.5722    21.3463    1495.78 0.0000e+00
       2834 23 May 2023 09:48:00    115.000    116.089    13.3836  34.493396     0.4856 5.3344e-02      1.571      0.575    115.000    28.5742    21.3477    1495.80 0.0000e+00
       2855 23 May 2023 09:48:06    116.000    117.098    13.3839  34.495190     0.4883 5.3353e-02      1.551      0.567    116.000    28.5752    21.3485    1495.82 0.0000e+00
       2875 23 May 2023 09:48:11    117.000    118.108    13.3842  34.496293     0.4928 5.3359e-02      1.560      0.570    117.000    28.5757    21.3488    1495.84 0.0000e+00
       2896 23 May 2023 09:48:16    118.000    119.118    13.3844  34.497814     0.4938 5.3362e-02      1.725      0.631    118.000    28.5765    21.3494    1495.86 0.0000e+00
       2916 23 May 2023 09:48:21    119.000    120.128    13.3847  34.498674     0.4966 5.3365e-02      1.677      0.614    119.000    28.5768    21.3496    1495.87 0.0000e+00
       2936 23 May 2023 09:48:26    120.000    121.137    13.3849  34.499764     0.4905 5.3343e-02      1.755      0.642    120.000    28.5773    21.3499    1495.89 0.0000e+00
       2956 23 May 2023 09:48:31    121.000    122.147    13.3853  34.501409     0.4931 5.3336e-02      1.489      0.545    121.000    28.5781    21.3505    1495.91 0.0000e+00
       2975 23 May 2023 09:48:35    122.000    123.157    13.3856  34.502927     0.4926 5.3361e-02      1.553      0.568    122.000    28.5789    21.3511    1495.93 0.0000e+00
       2995 23 May 2023 09:48:40    123.000    124.167    13.3859  34.504391     0.4963 5.3354e-02      1.481      0.542    123.000    28.5797    21.3516    1495.95 0.0000e+00
       3015 23 May 2023 09:48:45    124.000    125.177    13.3861  34.505638     0.4974 5.3358e-02      1.543      0.565    124.000    28.5804    21.3521    1495.97 0.0000e+00
       3036 23 May 2023 09:48:51    125.000    126.186    13.3863  34.506983     0.5016 5.3344e-02      1.549      0.567    125.000    28.5810    21.3526    1495.98 0.0000e+00
       3058 23 May 2023 09:48:56    126.000    127.196    13.3867  34.509068     0.5004 5.3342e-02      1.518      0.555    126.000    28.5823    21.3535    1496.00 0.0000e+00
       3078 23 May 2023 09:49:01    127.000    128.206    13.3869  34.510022     0.4961 5.3339e-02      1.534      0.561    127.000    28.5827    21.3537    1496.02 0.0000e+00
       3099 23 May 2023 09:49:06    128.000    129.216    13.3871  34.511099     0.5012 5.3352e-02      1.540      0.563    128.000    28.5832    21.3540    1496.04 0.0000e+00
       3120 23 May 2023 09:49:12    129.000    130.226    13.3875  34.512314     0.4995 5.3353e-02      1.475      0.540    129.000    28.5837    21.3544    1496.06 0.0000e+00
       3141 23 May 2023 09:49:17    130.000    131.236    13.3877  34.513330     0.4959 5.3347e-02      1.462      0.535    130.000    28.5841    21.3546    1496.08 0.0000e+00
       3162 23 May 2023 09:49:22    131.000    132.246    13.3880  34.514737     0.4991 5.3347e-02      1.449      0.530    131.000    28.5847    21.3551    1496.09 0.0000e+00
       3184 23 May 2023 09:49:28    132.000    133.255    13.3883  34.516496     0.5016 5.3330e-02      1.458      0.533    132.000    28.5858    21.3558    1496.11 0.0000e+00
       3207 23 May 2023 09:49:33    133.000    134.265    13.3887  34.518486     0.4994 5.3340e-02      1.779      0.651    133.000    28.5870    21.3567    1496.13 0.0000e+00
       3229 23 May 2023 09:49:39    134.000    135.275    13.3890  34.519709     0.5012 5.3346e-02      1.637      0.599    134.000    28.5876    21.3571    1496.15 0.0000e+00
       3251 23 May 2023 09:49:44    135.000    136.285    13.3893  34.521637     0.5044 5.3367e-02      1.753      0.641    135.000    28.5887    21.3579    1496.17 0.0000e+00
       3272 23 May 2023 09:49:50    136.000    137.295    13.3896  34.523446     0.5075 5.3368e-02      1.783      0.653    136.000    28.5898    21.3587    1496.19 0.0000e+00
       3294 23 May 2023 09:49:55    137.000    138.304    13.3898  34.525170     0.5045 5.3347e-02      1.455      0.532    137.000    28.5909    21.3595    1496.21 0.0000e+00
       3317 23 May 2023 09:50:01    138.000    139.314    13.3902  34.527206     0.5043 5.3347e-02      1.491      0.546    138.000    28.5921    21.3603    1496.23 0.0000e+00
       3340 23 May 2023 09:50:07    139.000    140.324    13.3905  34.528245     0.5060 5.3348e-02      1.424      0.521    139.000    28.5925    21.3606    1496.25 0.0000e+00
       3362 23 May 2023 09:50:12    140.000    141.334    13.3906  34.529132     0.5094 5.3337e-02      1.427      0.522    140.000    28.5928    21.3608    1496.26 0.0000e+00
       3385 23 May 2023 09:50:18    141.000    142.344    13.3909  34.530068     0.5103 5.3360e-02      1.434      0.525    141.000    28.5932    21.3610    1496.28 0.0000e+00
       3409 23 May 2023 09:50:24    142.000    143.354    13.3911  34.531034     0.5109 5.3352e-02      1.393      0.510    142.000    28.5935    21.3613    1496.30 0.0000e+00
       3458 23 May 2023 09:50:36    143.000    144.364    13.3909  34.532405     0.5130 5.3351e-02      1.400      0.512    143.000    28.5945    21.3621    1496.32 0.0000e+00
