       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
         77 25 May 2023 10:08:48      1.039      1.049    11.5663  37.316841     0.0195 1.3598e+03    265.388     95.786      1.039    32.7743    24.9410    1492.69 0.0000e+00
         78 25 May 2023 10:08:48      1.103      1.113    11.5454  37.329243     0.0344 8.3146e+02    259.604     93.692      1.103    32.8050    24.9686    1492.65 0.0000e+00
         79 25 May 2023 10:08:49      1.161      1.171    11.5272  37.334969     0.0195 1.2543e+03    254.776     91.950      1.161    32.8267    24.9888    1492.61 0.0000e+00
         80 25 May 2023 10:08:49      1.211      1.222    11.5110  37.338970     0.0195 1.4030e+03    251.077     90.614      1.211    32.8450    25.0060    1492.58 0.0000e+00
         81 25 May 2023 10:08:49      1.252      1.264    11.4964  37.341511     0.0245 1.9808e+03    247.622     89.363      1.252    32.8605    25.0207    1492.55 0.0000e+00
         82 25 May 2023 10:08:49      1.286      1.297    11.4832  37.342628     0.0136 1.1465e+03    244.469     88.220      1.286    32.8732    25.0330    1492.52 0.0000e+00
         83 25 May 2023 10:08:49      1.311      1.324    11.4716  37.344620     0.0166 7.7950e+02    241.603     87.183      1.311    32.8855    25.0446    1492.49 0.0000e+00
         84 25 May 2023 10:08:49      1.332      1.344    11.4618  37.348873     0.0205 7.6833e+02    239.087     86.273      1.332    32.8983    25.0564    1492.48 0.0000e+00
         85 25 May 2023 10:08:50      1.348      1.360    11.4540  37.354656     0.0166 2.1119e+03    236.989     85.511      1.348    32.9109    25.0676    1492.46 0.0000e+00
         86 25 May 2023 10:08:50      1.361      1.373    11.4482  37.360722     0.0334 2.0739e+03    235.431     84.944      1.361    32.9220    25.0773    1492.46 0.0000e+00
         87 25 May 2023 10:08:50      1.372      1.385    11.4442  37.366344     0.0185 7.4256e+02    234.236     84.510      1.372    32.9311    25.0851    1492.46 0.0000e+00
         88 25 May 2023 10:08:50      1.382      1.394    11.4416  37.371216     0.0166 7.5220e+02    233.708     84.319      1.382    32.9383    25.0911    1492.45 0.0000e+00
         89 25 May 2023 10:08:50      1.390      1.403    11.4401  37.374687     0.0136 7.3545e+02    232.584     83.911      1.390    32.9430    25.0951    1492.46 0.0000e+00
         90 25 May 2023 10:08:52      1.397      1.409    11.4394  37.375584     0.0314 7.1420e+02    231.797     83.625      1.397    32.9445    25.0963    1492.45 0.0000e+00
         91 25 May 2023 10:08:52      1.402      1.414    11.4394  37.372810     0.0235 1.2919e+03    230.767     83.253      1.402    32.9417    25.0942    1492.45 0.0000e+00
         92 25 May 2023 10:08:52      1.405      1.418    11.4398  37.366451     0.0106 7.4516e+02    229.561     82.818      1.405    32.9352    25.0890    1492.45 0.0000e+00
         93 25 May 2023 10:08:52      1.408      1.421    11.4404  37.357559     0.0146 7.9709e+02    228.549     82.454      1.408    32.9259    25.0817    1492.44 0.0000e+00
         94 25 May 2023 10:08:52      1.410      1.423    11.4412  37.346962     0.0225 4.2262e+02    227.380     82.034      1.410    32.9148    25.0730    1492.43 0.0000e+00
         95 25 May 2023 10:08:53      1.411      1.424    11.4422  37.335674     0.0285 1.4365e+03    226.653     81.771      1.411    32.9029    25.0635    1492.41 0.0000e+00
         96 25 May 2023 10:08:53      1.413      1.425    11.4434  37.325157     0.0116 6.1470e+02    226.297     81.639      1.413    32.8915    25.0544    1492.41 0.0000e+00
         97 25 May 2023 10:08:53      1.414      1.427    11.4446  37.316242     0.0166 1.3732e+03    226.625     81.751      1.414    32.8816    25.0465    1492.40 0.0000e+00
         98 25 May 2023 10:08:53      1.415      1.428    11.4454  37.309082     0.0294 1.0370e+03    226.949     81.862      1.415    32.8739    25.0404    1492.39 0.0000e+00
         99 25 May 2023 10:08:53      1.416      1.429    11.4453  37.303772     0.0205 1.3935e+03    227.611     82.099      1.416    32.8688    25.0364    1492.38 0.0000e+00
        100 25 May 2023 10:08:54      1.417      1.430    11.4445  37.300346     0.0314 1.2835e+03    228.296     82.349      1.417    32.8662    25.0345    1492.38 0.0000e+00
        101 25 May 2023 10:08:54      1.418      1.431    11.4430  37.298508     0.0017 9.0906e+02    229.035     82.618      1.418    32.8656    25.0344    1492.37 0.0000e+00
        102 25 May 2023 10:08:54      1.418      1.431    11.4413  37.297466     0.0076 7.9901e+02    229.772     82.887      1.418    32.8662    25.0351    1492.37 0.0000e+00
        103 25 May 2023 10:08:54      1.418      1.431    11.4394  37.296570     0.0215 1.4057e+03    230.808     83.265      1.418    32.8669    25.0361    1492.36 0.0000e+00
        104 25 May 2023 10:08:54      1.418      1.431    11.4376  37.295773     0.0294 1.5262e+03    231.613     83.559      1.418    32.8678    25.0370    1492.36 0.0000e+00
        105 25 May 2023 10:08:54      1.417      1.430    11.4360  37.295261     0.0225 1.1662e+03    232.341     83.824      1.417    32.8687    25.0380    1492.35 0.0000e+00
        106 25 May 2023 10:08:56      1.415      1.428    11.4347  37.295059     0.0205 9.4350e+02    232.976     84.050      1.415    32.8697    25.0390    1492.35 0.0000e+00
        107 25 May 2023 10:08:56      1.414      1.427    11.4335  37.295120     0.0304 5.6173e+02    233.585     84.261      1.414    32.8708    25.0401    1492.35 0.0000e+00
        108 25 May 2023 10:08:56      1.413      1.426    11.4324  37.295578     0.0275 1.5830e+03    234.496     84.578      1.413    32.8722    25.0415    1492.34 0.0000e+00
        109 25 May 2023 10:08:56      1.413      1.426    11.4314  37.296700     0.0156 9.1365e+02    234.863     84.703      1.413    32.8742    25.0432    1492.34 0.0000e+00
        110 25 May 2023 10:08:56      1.413      1.426    11.4304  37.298500     0.0166 9.8160e+02    234.705     84.643      1.413    32.8768    25.0454    1492.34 0.0000e+00
        111 25 May 2023 10:08:57      1.414      1.427    11.4295  37.300579     0.0245 1.7221e+03    234.486     84.565      1.414    32.8797    25.0478    1492.34 0.0000e+00
        112 25 May 2023 10:08:57      1.414      1.427    11.4285  37.302238     0.0364 4.0057e+02    234.278     84.493      1.414    32.8823    25.0500    1492.34 0.0000e+00
        113 25 May 2023 10:08:57      1.415      1.428    11.4274  37.302773     0.0245 2.5117e+02    234.016     84.402      1.415    32.8837    25.0513    1492.34 0.0000e+00
        114 25 May 2023 10:08:57      1.416      1.429    11.4264  37.301830     0.0265 2.1411e+02    233.957     84.381      1.416    32.8837    25.0515    1492.34 0.0000e+00
        115 25 May 2023 10:08:57      1.416      1.429    11.4254  37.299816     0.0096 4.7414e+02    233.812     84.324      1.416    32.8826    25.0507    1492.33 0.0000e+00
        116 25 May 2023 10:08:58      1.416      1.429    11.4248  37.297733     0.0195 2.0112e+02    233.436     84.183      1.416    32.8811    25.0497    1492.33 0.0000e+00
        117 25 May 2023 10:08:58      1.415      1.428    11.4247  37.296494     0.0235 1.9933e+02    233.110     84.060      1.415    32.8800    25.0489    1492.33 0.0000e+00
        118 25 May 2023 10:08:58      1.415      1.428    11.4250  37.296391     0.0136 2.5294e+02    232.420     83.806      1.415    32.8796    25.0485    1492.33 0.0000e+00
        119 25 May 2023 10:08:58      1.415      1.428    11.4257  37.297264     0.0285 1.9911e+02    231.474     83.461      1.415    32.8799    25.0486    1492.33 0.0000e+00
        120 25 May 2023 10:08:58      1.416      1.429    11.4264  37.298866     0.0185 1.9176e+02    230.281     83.029      1.416    32.8808    25.0492    1492.33 0.0000e+00
        121 25 May 2023 10:09:00      1.416      1.429    11.4269  37.300896     0.0344 2.0174e+02    228.769     82.486      1.416    32.8823    25.0503    1492.34 0.0000e+00
        122 25 May 2023 10:09:00      1.417      1.430    11.4270  37.302708     0.0235 2.0165e+02    227.199     81.925      1.417    32.8841    25.0516    1492.34 0.0000e+00
        123 25 May 2023 10:09:00      1.418      1.431    11.4265  37.303230     0.0304 2.0643e+02    226.087     81.530      1.418    32.8850    25.0524    1492.34 0.0000e+00
        124 25 May 2023 10:09:00      1.418      1.431    11.4254  37.301571     0.0324 1.9772e+02    225.423     81.298      1.418    32.8843    25.0521    1492.33 0.0000e+00
        125 25 May 2023 10:09:00      1.418      1.431    11.4238  37.297955     0.0324 2.1467e+02    225.082     81.178      1.418    32.8822    25.0508    1492.33 0.0000e+00
        126 25 May 2023 10:09:00      1.417      1.430    11.4217  37.293888     0.0245 1.8712e+02    225.249     81.230      1.417    32.8801    25.0495    1492.32 0.0000e+00
        127 25 May 2023 10:09:01      1.417      1.430    11.4196  37.291084     0.0096 2.0020e+02    225.114     81.175      1.417    32.8792    25.0492    1492.31 0.0000e+00
        128 25 May 2023 10:09:01      1.418      1.431    11.4178  37.290363     0.0175 2.2319e+02    224.696     81.023      1.418    32.8801    25.0502    1492.30 0.0000e+00
        129 25 May 2023 10:09:01      1.419      1.432    11.4163  37.291489     0.0285 2.1261e+02    224.213     80.849      1.419    32.8825    25.0524    1492.30 0.0000e+00
        130 25 May 2023 10:09:01      1.420      1.433    11.4151  37.293571     0.0334 2.3104e+02    223.295     80.519      1.420    32.8856    25.0550    1492.30 0.0000e+00
        131 25 May 2023 10:09:01      1.421      1.434    11.4141  37.295357     0.0195 2.4095e+02    222.123     80.098      1.421    32.8883    25.0572    1492.30 0.0000e+00
        132 25 May 2023 10:09:02      1.422      1.435    11.4131  37.295631     0.0195 2.4000e+02    220.998     79.695      1.422    32.8894    25.0583    1492.30 0.0000e+00
        133 25 May 2023 10:09:02      1.421      1.434    11.4121  37.293945     0.0255 3.8671e+02    219.910     79.306      1.421    32.8887    25.0579    1492.29 0.0000e+00
        134 25 May 2023 10:09:02      1.420      1.433    11.4111  37.290867    -0.1729 3.7414e+02    219.080     79.010      1.420    32.8866    25.0565    1492.29 0.0000e+00
        135 25 May 2023 10:09:02      1.419      1.432    11.4102  37.287258    -0.1778 3.3276e+02    218.655     78.858      1.419    32.8838    25.0545    1492.28 0.0000e+00
        136 25 May 2023 10:09:02      1.417      1.430    11.4095  37.283787    -0.0013 2.9414e+02    218.533     78.813      1.417    32.8811    25.0525    1492.27 0.0000e+00
        137 25 May 2023 10:09:04      1.415      1.428    11.4091  37.281151     0.7902 6.0245e+02    218.466     78.784      1.415    32.8788    25.0508    1492.27 0.0000e+00
        138 25 May 2023 10:09:04      1.415      1.428    11.4091  37.280098     0.7862 5.4837e+02    218.131     78.661      1.415    32.8778    25.0500    1492.27 0.0000e+00
        139 25 May 2023 10:09:04      1.415      1.428    11.4095  37.280922     0.0086 1.4107e+03    217.869     78.566      1.415    32.8782    25.0503    1492.27 0.0000e+00
        140 25 May 2023 10:09:04      1.416      1.429    11.4103  37.283260    -0.0033 1.4609e+03    217.105     78.293      1.416    32.8798    25.0514    1492.28 0.0000e+00
        141 25 May 2023 10:09:04      1.417      1.430    11.4112  37.286175    -0.4040 5.7907e+02    216.052     77.917      1.417    32.8818    25.0527    1492.28 0.0000e+00
        142 25 May 2023 10:09:04      1.418      1.431    11.4122  37.288216    -0.4050 1.3447e+03    215.114     77.583      1.418    32.8830    25.0534    1492.29 0.0000e+00
        143 25 May 2023 10:09:05      1.419      1.432    11.4130  37.287846    -0.6867 6.9115e+02    214.441     77.344      1.419    32.8819    25.0525    1492.29 0.0000e+00
        144 25 May 2023 10:09:05      1.419      1.432    11.4134  37.285019    -0.6996 7.0136e+02    213.977     77.180      1.419    32.8788    25.0500    1492.29 0.0000e+00
        145 25 May 2023 10:09:05      1.418      1.431    11.4136  37.281582     0.2705 6.4641e+02    213.777     77.110      1.418    32.8752    25.0472    1492.28 0.0000e+00
        146 25 May 2023 10:09:05      1.417      1.430    11.4138  37.279202     0.2705 1.2902e+03    213.830     77.129      1.417    32.8727    25.0452    1492.28 0.0000e+00
        147 25 May 2023 10:09:05      1.417      1.430    11.4141  37.278210     0.4530 5.8697e+02    213.762     77.103      1.417    32.8715    25.0442    1492.28 0.0000e+00
        148 25 May 2023 10:09:06      1.417      1.430    11.4146  37.278297     0.4579 3.7760e+02    213.746     77.095      1.417    32.8711    25.0438    1492.28 0.0000e+00
        149 25 May 2023 10:09:06      1.418      1.431    11.4152  37.279175     0.7575 3.0669e+02    213.350     76.951      1.418    32.8714    25.0440    1492.28 0.0000e+00
        150 25 May 2023 10:09:06      1.419      1.432    11.4159  37.280636     0.7565 2.7092e+02    212.697     76.716      1.419    32.8723    25.0445    1492.29 0.0000e+00
        151 25 May 2023 10:09:06      1.420      1.433    11.4166  37.282284     0.3062 1.2782e+03    211.653     76.338      1.420    32.8732    25.0451    1492.29 0.0000e+00
        152 25 May 2023 10:09:06      1.421      1.434    11.4172  37.283463     0.3151 3.5860e+02    210.500     75.924      1.421    32.8738    25.0454    1492.29 0.0000e+00
        153 25 May 2023 10:09:08      1.422      1.435    11.4179  37.283447     0.4569 3.4318e+02    209.583     75.598      1.422    32.8733    25.0449    1492.29 0.0000e+00
        154 25 May 2023 10:09:08      1.422      1.435    11.4185  37.281887     0.4520 9.6753e+02    208.561     75.236      1.422    32.8712    25.0432    1492.29 0.0000e+00
        155 25 May 2023 10:09:08      1.422      1.435    11.4191  37.279297     0.6841 3.1060e+02    207.875     74.994      1.422    32.8681    25.0406    1492.29 0.0000e+00
        156 25 May 2023 10:09:08      1.421      1.434    11.4198  37.276901     0.6999 3.4954e+02    207.476     74.858      1.421    32.8651    25.0382    1492.29 0.0000e+00
        157 25 May 2023 10:09:08      1.420      1.433    11.4208  37.275700     0.0989 3.3583e+02    207.659     74.924      1.420    32.8631    25.0364    1492.29 0.0000e+00
        158 25 May 2023 10:09:09      1.420      1.433    11.4219  37.275986     0.1048 9.3651e+02    207.928     75.016      1.420    32.8624    25.0357    1492.30 0.0000e+00
        159 25 May 2023 10:09:09      1.421      1.434    11.4231  37.277531     0.0741 6.5223e+02    208.306     75.150      1.421    32.8628    25.0358    1492.30 0.0000e+00
        160 25 May 2023 10:09:09      1.422      1.435    11.4244  37.279743     1.3645 5.2136e+02    208.637     75.269      1.422    32.8638    25.0363    1492.31 0.0000e+00
        161 25 May 2023 10:09:09      1.423      1.436    11.4257  37.281937     1.3565 4.2096e+02    208.628     75.265      1.423    32.8648    25.0369    1492.31 0.0000e+00
        162 25 May 2023 10:09:09      1.423      1.437    11.4268  37.283489     1.6511 1.5562e+03    208.405     75.185      1.423    32.8653    25.0371    1492.32 0.0000e+00
        163 25 May 2023 10:09:09      1.424      1.437    11.4279  37.283909     1.6600 7.5204e+02    207.643     74.912      1.424    32.8648    25.0365    1492.32 0.0000e+00
        164 25 May 2023 10:09:10      1.424      1.437    11.4287  37.283108    -0.7273 1.1614e+03    206.645     74.554      1.424    32.8632    25.0351    1492.32 0.0000e+00
